,License_plate_number,Distance,Number_of_Trips_Completed,Average_Speed,Transporter_Name,Number_of_Speed_Violations
2763,HR55W4557,404306158.7840717,1,14.583354066355428,Jai Maa Santoshi Filling Station,2
2764,GJ5AT1471,1010389461.9027284,1,8.707668846122976,IDEAL MOVERS (P). LTD,10
2765,BR01GF0281,62368224.3786671,1,14.48356286095069,Vivek Fuels,4
2766,HR63C5168,215408587.3483209,1,18.14164251736016,S K Petro Centre,6
2767,GJ06VV4830,1076956227.1913085,1,12.784648199858948,Maa Trading Company,1
2768,GJ06VV4830,1076956227.1913085,1,12.784648199858948,Maa Trading Company,1
2769,HR45B6113,867385444.0015612,1,8.991116176156963,Ahuja Service Station,256
2770,GJ12W8898,1059727009.921945,1,12.053412985305854,Shree Dada Dayalu Logistics,0
2771,GJ06TT8950,1038436207.419961,1,11.065689058213229,Maa Trading Company,4
2772,GJ06TT8950,1038436207.419961,1,11.065689058213229,Maa Trading Company,4
2773,GJ12Z1944,769716672.5386664,1,9.272694305828189,Shree Gurukrupa Transport service,120
2774,BR09GA5531,453375508.9872459,1,14.69825998895231,Sultania Carriers Private Limited,7
2775,BR09GA5531,453375508.9872459,1,14.69825998895231,Sultania Carriers Private Limited,7
2776,GJ12W8898,1059727009.921945,1,12.053412985305854,Shree Dada Dayalu Logistics,0
2777,GJ21W2565,1030721248.9499428,1,17.358885856961287,R.K.Bulk Carriers,93
2778,HR45B4286,408568257.57883596,1,23.32483886538516,Ahuja Service Station,6
2779,GJ3AT4381,1133405606.7875817,1,14.074692466871598,Jay Shri Sarmariyadada Transport,10
2780,GJ37T9945,988611214.4600458,1,15.419460078697016,Maruti Roadways,2
2781,HR47C6476,357950263.0301328,1,21.937516543144522,S.R.Filling Station,13
2782,GJ12AU8130,791583733.1709129,1,11.723957047642557,Suresh Petroleum Co.,5866
2783,GJ12BT3686,962770516.0947475,1,13.73080853318531,Ashv Petroleum,42
2784,GJ37T9927,722072673.6384102,1,25.58525101474044,Maruti Roadways,383
2785,GJ02VV9111,1168719573.683562,1,21.42612505397521,Shreeji Petroleum,114
2786,GJ02VV9111,1168719573.683562,1,21.42612505397521,Shreeji Petroleum,114
2787,GJ3W7359,246949430.8300304,1,13.11310386171754,Nandkishor Roadlines,65
2788,GJ3W7359,246949430.8300304,1,13.11310386171754,Nandkishor Roadlines,65
2789,GJ03AT2302,601276373.8870212,1,11.645146360027153,Jasmin Enterprises,1
2790,GJ12W7582,287122909.47296757,1,14.492010110530375,Jasmin Enterprises,2
2791,GJ37T9972,1034628140.9693753,1,13.461057902523464,Maruti Roadways,6
2792,GJ03AT2302,601276373.8870212,1,11.645146360027153,Jasmin Enterprises,1
2793,GJ03AT2302,601276373.8870212,1,11.645146360027153,Jasmin Enterprises,1
